title,url,category,imageUrl,content,author,tags,hasVideo
"19-летнюю Дарью Козыреву приговорили к двум годам и восьми месяцам за то, что она приклеила стихотворение Тараса Шевченко на памятник поэту. Это сочли «дискредитацией» армии","https://meduza.io/news/2025/04/18/19-letnyuyu-daryu-kozyrevu-prigovorili-k-dvum-godam-i-vosmi-mesyatsam-za-to-chto-ona-prikleila-stihotvorenie-tarasa-shevchenko-na-pamyatnik-poetu-eto-sochli-diskreditatsiey-armii","Новости","","","Meduza.io","",""
"Война Тысяча сто пятидесятый день. США просят Европу ослабить санкции против России в случае перемирия — и угрожают прекратить посредничество, если не увидят прогресса в переговорах в ближайшие дни","https://meduza.io/feature/2025/04/18/voyna","Новости","","","Meduza.io","",""
"В Свердловской области завалившим сессию студентам будут предлагать заключить контракт с Минобороны и пойти на войну — в обмен на академический отпуск","https://meduza.io/news/2025/04/18/v-sverdlovskoy-oblasti-zavalivshim-sessiyu-studentam-budut-predlagat-zaklyuchit-kontrakt-s-minoborony-i-poyti-na-voynu-v-obmen-na-akademicheskiy-otpusk","Новости","","","Meduza.io","",""
"США объявили Китаю новую торговую войну. Высоки ли шансы Вашингтона на победу — и какие козыри в этом противостоянии есть у Пекина? Объясняет китаист Темур Умаров","https://meduza.io/feature/2025/04/18/ssha-ob-yavili-kitayu-novuyu-torgovuyu-voynu-vysoki-li-shansy-vashingtona-na-pobedu-i-kakie-kozyri-v-etom-protivostoyanii-est-u-pekina","Новости","","","Meduza.io","",""
"Правительство внесло в Думу законопроект, разрешающий апатридам заключать контракты на службу в армии","https://meduza.io/news/2025/04/18/pravitelstvo-vneslo-v-dumu-zakonoproekt-razreshayuschiy-apatridam-zaklyuchat-kontrakty-na-sluzhbu-v-armii","Новости","","","Meduza.io","",""
"«Месяц истек, новых указаний верховного главнокомандующего не было». Песков — об окончании моратория на удары по украинской энергосистеме","https://meduza.io/news/2025/04/18/mesyats-istek-novyh-ukazaniy-verhovnogo-glavnokomanduyuschego-ne-bylo-peskov-ob-okonchanii-moratoriya-na-udary-po-ukrainskoy-energosisteme","Новости","","","Meduza.io","",""
"Администрация Трампа обвиняет ведущие американские университеты в антисемитизме — и лишает их финансирования Кажется, это лишь предлог, чтобы ограничить в стране академические свободы","https://meduza.io/feature/2025/04/18/administratsiya-trampa-obvinyaet-veduschie-amerikanskie-universitety-v-antisemitizme-i-lishaet-ih-finansirovaniya","Новости","","","Meduza.io","",""
"В Нижегородской области школьники выступили перед портретами участников Великой Отечественной войны. Больше в зале никого не было","https://meduza.io/news/2025/04/18/v-nizhegorodskoy-oblasti-shkolniki-vystupili-pered-portretami-uchastnikov-velikoy-otechestvennoy-voyny-bolshe-v-zale-nikogo-ne-bylo","Новости","","","Meduza.io","",""
"«Сережа написал: такой срок никто сидеть не будет. Верит, что все выйдут на свободу раньше» «Берег» поговорил с Ольгой Карелиной — сестрой журналиста Сергея Карелина. За свою работу он отправится в колонию на пять с половиной лет","https://meduza.io/feature/2025/04/18/serezha-napisal-takoy-srok-nikto-sidet-ne-budet-verit-chto-vse-vyydut-na-svobodu-ranshe","Новости","","","Meduza.io","",""
"Зеленский продлил военное положение и мобилизацию в Украине еще на 90 дней","https://meduza.io/news/2025/04/18/zelenskiy-prodlil-voennoe-polozhenie-i-mobilizatsiyu-v-ukraine-esche-na-90-dney","Новости","","","Meduza.io","",""
